id,thresh,npix,tnpix,xmin,xmax,ymin,ymax,x,y,x2_image,y2_image,xy_image,errx2,erry2,errxy,a_image,b_image,theta_image,cxx_image,cyy_image,cxy_image,cflux,flux,cpeak,peak,xcpeak,ycpeak,xpeak,ypeak,flag,x_image,y_image,number,ra,dec,x_world,y_world,flux_iso,fluxerr_iso,area_iso,mag_iso,kron_radius,kron_rcirc,flux_auto,fluxerr_auto,bkg_auto,flag_auto,area_auto,flux_radius_flag,flux_radius_20,flux_radius,flux_radius_90,tot_corr,mag_auto,magerr_auto,flux_aper_0,fluxerr_aper_0,flag_aper_0,bkg_aper_0,mask_aper_0,flux_aper_1,fluxerr_aper_1,flag_aper_1,bkg_aper_1,mask_aper_1,flux_aper_2,fluxerr_aper_2,flag_aper_2,bkg_aper_2,mask_aper_2,flux_aper_3,fluxerr_aper_3,flag_aper_3,bkg_aper_3,mask_aper_3,flux_aper_4,fluxerr_aper_4,flag_aper_4,bkg_aper_4,mask_aper_4,flux_aper_5,fluxerr_aper_5,flag_aper_5,bkg_aper_5,mask_aper_5,flux_aper_6,fluxerr_aper_6,flag_aper_6,bkg_aper_6,mask_aper_6,f125w_flux_aper_0,f125w_fluxerr_aper_0,f125w_flag_aper_0,f125w_bkg_aper_0,f125w_mask_aper_0,f125w_flux_aper_1,f125w_fluxerr_aper_1,f125w_flag_aper_1,f125w_bkg_aper_1,f125w_mask_aper_1,f125w_flux_aper_2,f125w_fluxerr_aper_2,f125w_flag_aper_2,f125w_bkg_aper_2,f125w_mask_aper_2,f125w_flux_aper_3,f125w_fluxerr_aper_3,f125w_flag_aper_3,f125w_bkg_aper_3,f125w_mask_aper_3,f125w_flux_aper_4,f125w_fluxerr_aper_4,f125w_flag_aper_4,f125w_bkg_aper_4,f125w_mask_aper_4,f125w_flux_aper_5,f125w_fluxerr_aper_5,f125w_flag_aper_5,f125w_bkg_aper_5,f125w_mask_aper_5,f125w_flux_aper_6,f125w_fluxerr_aper_6,f125w_flag_aper_6,f125w_bkg_aper_6,f125w_mask_aper_6,f125w_tot_corr,f160w_flux_aper_0,f160w_fluxerr_aper_0,f160w_flag_aper_0,f160w_bkg_aper_0,f160w_mask_aper_0,f160w_flux_aper_1,f160w_fluxerr_aper_1,f160w_flag_aper_1,f160w_bkg_aper_1,f160w_mask_aper_1,f160w_flux_aper_2,f160w_fluxerr_aper_2,f160w_flag_aper_2,f160w_bkg_aper_2,f160w_mask_aper_2,f160w_flux_aper_3,f160w_fluxerr_aper_3,f160w_flag_aper_3,f160w_bkg_aper_3,f160w_mask_aper_3,f160w_flux_aper_4,f160w_fluxerr_aper_4,f160w_flag_aper_4,f160w_bkg_aper_4,f160w_mask_aper_4,f160w_flux_aper_5,f160w_fluxerr_aper_5,f160w_flag_aper_5,f160w_bkg_aper_5,f160w_mask_aper_5,f160w_flux_aper_6,f160w_fluxerr_aper_6,f160w_flag_aper_6,f160w_bkg_aper_6,f160w_mask_aper_6,f160w_tot_corr,nexp_g800l,nexp_g102,nexp_g141,has_grism,mag_best_u,mag_best_z,magerr_best_u,magerr_best_z,mag_best_Ks,magerr_best_Ks
10,0.04162131994962692,49,45,5812,5819,1180,1187,5815.640905727111,1183.7455472925167,3.6060019337474127,3.029092744293024,0.008180097461684355,0.03408777790070645,0.028476341084829097,-0.00015682156521521824,1.8989781141281128,1.7403955459594727,0.014175377786159515,0.2773171365261078,0.3301338851451874,-0.0014977958053350449,0.3404503362372635,0.4500907823470275,0.010763163422406899,0.02074926840744817,5816,1184,5816,1184,0,5816.640905727111,1184.7455472925167,10,190.92806712748367,35.83529893667278,190.92806712748367,35.83529893667278,0.4056357083761764,0.027638316733693068,40,24.879659551912862,4.129137724603724,7.506600960495703,0.5841451739038096,0.05969474098890017,0.016624740389126858,0,177.02578658703464,0,1.4953742775523353,2.7231318586489714,4.830178536655917,1.1828674203445502,24.301357842016337,0.11095314045337067,0.329976064430098,0.023574266940183584,0,0.002670490626430154,0.0,0.46751844850886937,0.032634622808558236,0,0.005133298208294778,0.0,0.568024980876032,0.045561482790676185,0,0.010047498093443024,0.0,0.597100438575332,0.06750442723532099,0,0.020445520411749758,0.0,0.6062180613091634,0.07889821040122708,0,0.029422225531591194,0.0,0.5972445804537632,0.09539753796350406,0,0.045749745032124756,0.0,0.4753055322280566,0.17202677883198986,0,0.17733617029964188,0.0,0.2656445236453641,0.01721705266501844,0,0.001885941518157786,0.0,0.3765026620974858,0.023757389203162026,0,0.0036279863017249924,0.0,0.45780478071453906,0.03305306218902646,0,0.007110560503487095,0.0,0.48169536592222223,0.04892513465336539,0,0.0145061491611674,0.0,0.48349520909513954,0.05796898766508827,0,0.020916535972631045,0.0,0.47458038319799956,0.07195699513453832,0,0.03263555785218593,0.0,0.3661069746143005,0.14361619709711304,0,0.129610558300999,0.0,1.1538263276885248,0.35175734382781654,206.29558656290533,0,0.004684716739918659,0.0,0.5277581199624264,329.0802970541326,32,0.008998503422498446,2.634615831011128,0.7502244858875243,441.42835277489655,32,0.01758065582017484,14.327056065226412,0.9549851323977043,706.9290927677158,32,0.03557973295237634,54.819099458556586,1.0319273884463576,767.4709292307391,32,0.05109097928961647,91.297763712985,1.1186510348133758,1907.1513469898448,32,0.07927165961584164,163.86647672559585,1.027766824598188,2852.212901086039,32,0.3042586059626166,815.0255712199172,1.164847234696985,0,0,2,4,26.922645568847656,25.148773193359375,0.20500458776950836,0.1618650108575821,99.0,99.0
61,0.011443935334682465,539,486,5936,5962,1377,1402,5948.536386540946,1389.431522845766,33.006423163406964,28.842550687734587,-3.851959869336355,0.011085106572490896,0.009783191319575313,-0.0011260486456856175,5.941639423370361,5.152270793914795,-0.5376428365707397,0.030776817351579666,0.03521993011236191,0.008220567367970943,1.6517298340615625,1.7069320463667546,0.009609654578860824,0.014794313021340365,5948,1391,5949,1391,0,5949.536386540946,1390.431522845766,61,190.9253352421203,35.8387271608794,190.9253352421203,35.8387271608794,1.6838017992011614,0.025037714037101557,525,23.3342725768937,4.362773589180919,24.138771405885155,2.033850212896325,0.04660887363607698,0.4455514388421231,0,1830.5441027023012,32,3.9861548940759244,7.947570509114235,15.299093580485346,1.0548039828840485,23.071273184382587,0.024881351266090024,0.2627142373038607,0.006812395746719307,0,0.006881247429462193,0.0,0.43456020919292515,0.009213142785709356,0,0.01320835057435688,0.0,0.6851773770620926,0.012585427663788722,0,0.02598949780824252,0.0,1.0796840325271568,0.01767865486123823,0,0.0529703098993154,0.0,1.3364289406261187,0.021029770417855337,0,0.0763480358396545,0.0,1.6150744377170623,0.025781221288030825,0,0.11927103769250098,0.0,1.9907028251978105,0.04929629271509348,0,0.47766758066693127,0.0,0.28112139496714145,0.010506030825276059,0,0.007961026449428055,0.0,0.4653923156287956,0.014521992557728815,0,0.015278787245972104,0.0,0.7408507779828258,0.019984850857450387,0,0.03005594101498926,0.0,1.1746831965335796,0.028308299314479736,0,0.06122445581386537,0.0,1.4373450581937877,0.03393246493321586,0,0.08820672488316397,0.0,1.7353048571156051,0.0420409409652073,0,0.13767978238103512,0.0,2.007600432671645,0.08183405524129031,0,0.5478146910155206,0.0,1.0328932429478948,0.2949350171714499,0.009918107315034237,0,0.007593922424338457,0.0,0.4893484619976509,0.013421219501047162,0,0.014577793853569745,0.0,0.7688288927506003,0.018418285551174758,0,0.028691047274067634,0.0,1.2077867395430422,0.02601355339639634,0,0.05850495343131838,0.0,1.5004691932221585,0.031018819679393635,0,0.08436195226807505,0.0,1.8149280317589394,0.038096765870561676,0,0.13189272524338694,0.0,2.2756489072864468,0.07344042397804942,0,0.5317229709091379,0.0,1.0400377925448028,0,0,6,4,23.063146591186523,23.172466278076172,0.02612367644906044,0.040767040103673935,99.0,99.0
119,0.013193285092711449,86,68,7260,7270,1555,1565,7264.709406986232,1560.188406847676,5.484267311104368,5.605312074527507,-1.4053003391353194,0.02008026914486212,0.02021665502688463,-0.00525375977719263,2.636549472808838,2.0342533588409424,-0.8069185018539429,0.19485785067081451,0.19064995646476746,0.09770510345697403,0.21917565063098157,0.2608962609436436,0.005004955575767515,0.009586175020276253,7265,1560,7265,1559,0,7265.709406986232,1561.188406847676,119,190.8982750817613,35.84157115274834,190.8982750817613,35.84157115274834,0.2495740882041818,0.010910024798824386,78,25.40700126716658,3.5,8.105662703008512,0.3019121833063899,0.017741720351088598,0.005189257331472023,0,206.4081912209518,0,1.633325904133291,3.0378086827472917,5.821885099874875,1.1757533352064609,25.024507854558873,0.06380275187610591,0.14851760360987568,0.007012624509147724,0,0.0007078123068235812,0.0,0.21089563875683418,0.009630296576972707,0,0.0013687813124857626,0.0,0.2721727909375724,0.013328589538253036,0,0.0026890380488023627,0.0,0.2990902186879748,0.018656547454079297,0,0.00549627008228641,0.0,0.2908173639241098,0.0222530182212332,0,0.007904609125015392,0.0,0.30061763598761876,0.027548903671484756,0,0.012332231643785831,0.0,0.2983169585558405,0.0706281509235179,0,0.04900665952181585,0.0,0.09818211841379383,0.01751168498334518,0,-8.007992328075334e-05,0.0,0.1409817666597683,0.024599831362009113,0,-0.0001525270350389936,0.0,0.18186095737664698,0.035077925427555286,0,-0.0002877454939965867,0.0,0.21525844384331186,0.05034623183716968,0,-0.00054350774861676,0.0,0.21853026713465323,0.060842295982376116,0,-0.0007167531204521658,0.0,0.22800637838829355,0.07570827722957446,0,-0.0009165392192212118,0.0,0.39973151714227345,0.15061425220846172,0,0.0029773706232334475,0.0,1.1439323663031498,0.18371053476226606,0.009811125677540382,0,0.0007562326794737162,0.0,0.2606333834653651,0.013473685630162116,0,0.0014624207983313052,0.0,0.33700602462725604,0.01865643828033102,0,0.002873253730519629,0.0,0.3687850650758219,0.02608948634012639,0,0.005877514587793702,0.0,0.3581104948765415,0.031117690452029195,0,0.008458780536341153,0.0,0.37130923487075335,0.03850835192292919,0,0.013211500953459304,0.0,0.31831511660906664,14.871284032286807,0,0.05313328029686939,0.0,1.1578373756073883,0,0,2,4,99.0,99.0,99.0,99.0,99.0,99.0
211,0.011535855941474438,228,184,5445,5464,1843,1858,5455.391290081657,1849.9180953394302,12.243234765608918,9.38531625927898,0.4818911877794818,0.007132395387543817,0.004885952811541172,0.0003606801338872247,3.5103137493133545,3.050614595413208,0.16262774169445038,0.08184316009283066,0.10676518827676773,-0.008404511027038097,0.8886178043442707,0.9218590598795843,0.014211728293379746,0.02754651435059256,5456,1850,5456,1850,0,5456.391290081657,1850.9180953394302,211,190.9354753280304,35.84640106937184,190.9354753280304,35.84640106937184,0.919169492028599,0.01579274487951851,224,23.991510996655364,4.084624627907772,13.366533494887895,1.0581556392077067,0.025015269043072188,-0.004045637681174653,0,561.290193691314,0,1.8095160146213354,3.7083878068509777,9.489446045626188,1.1105780143286277,23.72475344393505,0.02566728585613808,0.42048365083920597,0.007196297949350472,0,-0.00021110212992199781,0.0,0.5922281720116895,0.009464974656156783,0,-0.0004082104284609907,0.0,0.7647775172800549,0.012481416471387102,0,-0.0007967687969551687,0.0,0.9027684848653724,0.016914922241345297,0,-0.0016150114225386908,0.0,0.9743445694281492,0.019957458369607557,0,-0.0023078862084411913,0.0,1.0410672226297741,0.02445532890529641,0,-0.003557881714934141,0.0,1.1681654432382602,0.04760447364340328,0,-0.012706436818417776,0.0,0.3930719870984933,0.010958269364623175,0,-0.0015199725322908475,0.0,0.5421013036601307,0.01458071235389258,0,-0.00294304237622932,0.0,0.6828155251349222,0.01965930187403662,0,-0.005758340141406058,0.0,0.7888712166989558,0.02735430215791955,0,-0.011733410222229297,0.0,0.8216382509280091,0.03253946475121577,0,-0.01684357670431793,0.0,0.8576575008886258,0.04026991564235564,0,-0.026190414055073864,0.0,0.9136406908055624,0.07943075590162321,0,-0.10106535337868304,0.0,1.0856719800011192,0.49401990795737544,0.010352195776835452,0,0.0004559877155193601,0.0,0.6992690465355791,0.013732847057039924,0,0.0008838441142960368,0.0,0.9087420624828997,0.01825386607162178,0,0.001732277463912055,0.0,1.0771483632709264,0.024911159845388345,0,0.0035443530935704193,0.0,1.1718636554686617,0.029491092516837382,0,0.0051039794868393855,0.0,1.2583876510817658,0.03623641813667721,0,0.00798670094806857,0.0,1.4194496557153053,0.07098311070369176,0,0.032512935762403924,0.0,1.0922940055586303,0,0,6,4,26.192737579345703,24.40184783935547,0.14349906146526337,0.11152946203947067,99.0,99.0
262,0.011200282722711563,555,488,5303,5328,2003,2030,5315.349601273184,2016.521915481744,18.421868887564955,21.90738106474933,-1.3515134877611672,0.0012672854746136975,0.001466224614724975,-0.0001576364317394667,4.729696273803711,4.237832546234131,-1.2409840822219849,0.05453011393547058,0.04585425183176994,0.006728160195052624,4.591828285694054,4.649136420356583,0.04481179796933375,0.07253456698813623,5315,2017,5315,2017,0,5316.349601273184,2017.521915481744,262,190.93835536929058,35.84917739631946,190.93835536929058,35.84917739631946,4.640740359116283,0.02531605213737944,548,22.233531822196007,3.576935243775817,16.013991738803604,4.790277080543313,0.030564194386021603,0.09653108351970922,0,805.6549373474319,32,2.4000961729514345,4.739161167789128,10.297849412010828,1.0911798319509174,22.10435758715997,0.006927501657253826,1.3418069421055114,0.009885034393560303,0,0.0034405389266966074,0.0,2.0653263237362327,0.012826165913759359,0,0.006625063037605639,0.0,2.9736557557388044,0.01638927520022477,0,0.01290763615485438,0.0,3.9035191185772273,0.021035587933443168,0,0.026316598459599272,0.0,4.262922127493356,0.023902421082791118,0,0.03784568736692452,0.0,4.570331628322456,0.028159551215321738,0,0.059026359227323265,0.0,5.092041237943483,0.05039577219784735,32,0.2347287786433038,0.0,0.787156742381508,0.01166742813211499,0,0.0018678906687648043,0.0,1.2477982077819088,0.015681463453026304,0,0.003596175755684547,0.0,1.8671535665967065,0.02110350184017677,0,0.0069997006700900375,0.0,2.4981046476349005,0.02887492660738868,0,0.014246989251021996,0.0,2.7377330237946147,0.03390421226096449,0,0.020486038771024045,0.0,2.9513844698448706,0.041704663364122575,0,0.03191018473600094,0.0,3.4485526274336875,0.08431367070113664,32,0.12710864897890256,0.0,1.0665776286036934,1.7486526656205394,0.014498105103576383,0,0.003669147580033678,0.0,2.6782311870327233,0.01884513290787554,0,0.0070721488018545605,0.0,3.825836771260638,0.024082015911314928,0,0.013799255136356282,0.0,5.004506882961936,0.031013034993152312,0,0.028207223211958465,0.0,5.463694482257224,0.03533915116836857,0,0.040642773748137795,0.0,5.854544720535351,0.04176709505577341,0,0.0635957455816578,0.0,6.498483173627896,0.07473861311658433,32,0.25838481266884267,0.0,1.0784700950167836,0,0,6,4,25.079843521118164,23.612491607666016,0.07152637094259262,0.07399209588766098,20.9156,0.0233
284,0.01375995110720396,215,153,5446,5462,2085,2102,5454.773763260371,2093.5423165413513,10.35838447014919,12.161868513312868,-2.9534426002952046,0.004979833528728909,0.005807680611462928,-0.0010905375053265852,3.7878966331481934,2.858686923980713,-0.9335628747940063,0.1037219911813736,0.08834104984998703,0.05037662386894226,0.8815334459083665,0.9275173857024653,0.01217832709222615,0.027185254762275273,5456,2092,5456,2092,1,5455.773763260371,2094.5423165413513,284,190.93548879596216,35.850461455387176,190.93548879596216,35.850461455387176,0.917362935640754,0.015101746206189256,206,23.993647026794896,3.670247932071449,12.077519845846203,1.0203588871077853,0.0227468032280479,-0.008205802718896206,32,458.2530796501439,32,2.257961033530302,3.915164028782939,8.35467335917629,1.122387489437017,23.752760578302773,0.024204256089937724,0.339404361278336,0.006983745921507294,0,-0.0005095457086444026,0.0,0.5525411697946725,0.009391412682828558,0,-0.0009809660805476488,0.0,0.764291077649661,0.01249849278876965,0,-0.001921021244683274,0.0,0.9239806899559965,0.01690533035280749,32,-0.003913720990660219,0.0,0.9805625054230407,0.019925924428848718,32,-0.00565842249135938,0.0,1.0458630121330663,0.024548007073482293,32,-0.008911204424753611,0.0,1.1680280519035104,0.04778447794628914,32,-0.03373945312398416,0.0,0.2764572229556996,0.010271535582379454,0,-0.0010117988784245115,0.0,0.4351456555622307,0.014058836710403852,0,-0.0019462633930408348,0.0,0.5974531820584594,0.019289807915058663,0,-0.003816779282582736,0.0,0.7098899102115713,0.027061077313456233,32,-0.00776065224974175,0.0,0.7447957447834014,0.03227325470095628,32,-0.011164071044929313,0.0,0.8028852205273441,0.04022404165973611,32,-0.017370536465844324,0.0,0.8968382750144088,0.07963241328937086,32,-0.06665888534600745,0.0,1.0990618467047621,0.41112085105875673,0.010234599639033368,0,-0.0005257779686197526,0.0,0.6750211713546466,0.013781281136688943,0,-0.0010123916162173747,0.0,0.9360881022424228,0.018400523667501015,0,-0.0019804062293733355,0.0,1.1355969824554348,0.024976181471358546,32,-0.004034971630274333,0.0,1.2082921026929638,0.0295220661419985,32,-0.00584625913351656,0.0,1.2881990971222521,0.03647517102452115,32,-0.009254449394450174,0.0,1.4438793599957405,0.07132184764066499,32,-0.034374736610543556,0.0,1.107574541700804,0,0,6,4,24.123380661010742,24.131736755371094,0.02500789612531662,0.08902663737535477,99.0,99.0
313,0.011669605039060116,195,152,7034,7046,2157,2174,7039.926742292831,2165.408993104156,7.275028614506219,14.569132935865142,-0.9475884514097785,0.005963442742016487,0.011321228566064887,-0.0003267517742912396,3.8327829837799072,2.6746842861175537,-1.4436951875686646,0.1386309415102005,0.06922471523284912,0.018033342435956,0.6825425957555916,0.7199873802842043,0.008771785298890559,0.015501987158485197,7039,2167,7039,2168,0,7040.926742292831,2166.408993104156,313,190.90289433988463,35.851658882558596,190.90289433988463,35.851658882558596,0.7031834885585996,0.01508953391045444,182,24.28232833869264,4.120548297546604,13.19314655864875,0.8680037518753478,0.026193713452803188,-0.0304187136054081,0,546.8228404865956,0,2.3186125932100636,4.120099891401036,9.754309183204711,1.112104480745703,23.938332017654552,0.0327642167114188,0.2733425026358978,0.006871081435441157,0,-0.0015801275554161132,0.0,0.441012466180542,0.00935410247765691,0,-0.0030540965787904,0.0,0.5936763329672969,0.012719408324010162,0,-0.005981099306622347,0.0,0.7247067362154613,0.017632780544346693,0,-0.012204702344330152,0.0,0.7894590346033302,0.02085285587949633,0,-0.017550235493235488,0.0,0.838117964556414,0.025673727995191683,0,-0.027362205552864484,0.0,0.9732662271518588,0.05368505371093477,0,-0.10760226630141276,0.0,0.18631372692557013,0.01105830210529556,0,-0.00028880829650932023,0.0,0.2910850216292752,0.015344795576810996,0,-0.0005582049754784185,0.0,0.38210137953067613,0.021362216396831904,0,-0.0010933946257262223,0.0,0.45346568731856046,0.03056933118113013,0,-0.0022316817475791302,0.0,0.5208630569701678,0.036525233180983094,0,-0.0032102199943434342,0.0,0.5549170333851056,0.04543756848090189,0,-0.00500739375618929,0.0,0.5776704194954603,0.09019727520395282,0,-0.01978007024392777,0.0,1.0873676572983393,0.3423422632191736,0.009986905744628545,0,-0.0016709651225021147,0.0,0.5548081672528163,0.013619731504263861,0,-0.003228822767913623,0.0,0.7494970052643389,0.018612753845942784,0,-0.0063220942228767825,0.0,0.9176328439867624,0.0258802720315587,0,-0.012892044486266071,0.0,0.9891287684438824,0.030628512325867246,0,-0.018530724673156047,0.0,1.0443793195862254,0.03775896760783133,0,-0.028864074788460734,0.0,1.2047771216995267,0.08556599510598395,32,-0.11265049748512158,0.807059866248254,1.0941353202855808,0,0,6,4,25.95580291748047,24.943626403808594,0.09532948583364487,0.14764255285263062,23.2939,0.1102
381,0.01116500049829483,247,199,6724,6747,2331,2345,6736.099145670776,2338.6297773764854,24.630550824530644,7.559197414391662,-0.033342496472258176,0.02042721658946607,0.006158113654338335,-0.00025468345878053994,4.962924003601074,2.749387502670288,-0.001953115570358932,0.04060022905468941,0.13228996098041534,0.000358163146302104,0.7212161530803537,0.7628018487659026,0.00768131462188634,0.01258146491467314,6735,2339,6736,2339,1,6737.099145670776,2339.6297773764854,381,190.90914137617634,35.854546633414834,190.90914137617634,35.854546633414834,0.7565141182612617,0.016844523169541985,242,24.202957406624304,4.8170123512857534,17.79362974910956,1.0101678022647207,0.03419282904897656,0.020126737248603935,32,994.6698905405208,32,2.7754579544059803,5.646170118070203,13.884551842146122,1.0815991773357834,23.803850324700406,0.036750718403763434,0.22506573384289652,0.0066246381698347985,0,0.0005829554834631115,0.0,0.35338603633897325,0.009049109730826942,0,0.0011226107704347167,0.0,0.5228856179383506,0.012319527264219754,0,0.0022023000056445217,0.0,0.7020219962732221,0.017077166349230413,32,0.004485477222591437,0.0,0.7840629145297119,0.020182785972324212,32,0.006444448439170502,0.0,0.9047835878998419,0.02481554698440361,32,0.010027105776659334,0.0,1.0945771298165243,0.04904547613113886,32,0.03927287602348897,0.0,0.20837880995046945,0.010487461039967772,0,-0.0007409075334941552,0.0,0.3247538311049854,0.014309991630273626,0,-0.0014273842296643054,0.0,0.471253498466474,0.019673634489512922,0,-0.0028024273530396315,0.0,0.6360271314854143,0.02758528849481278,32,-0.005717510119076963,0.0,0.7137429884093623,0.03287378174131899,32,-0.008225669118783887,0.0,0.8257856371429348,0.04072025177788585,32,-0.012843894098630253,0.0,0.9897162859444201,0.08061346897637856,32,-0.051806843849652784,0.0,1.0574827626788255,0.2645686889151923,0.00966916631828868,0,0.0015180613616024648,0.0,0.41508884594306145,0.013293307658986852,0,0.002923558904587673,0.0,0.6168995952760632,0.018166512303757612,0,0.005736756892051863,0.0,0.8261977805216235,0.02530166322061255,32,0.011684295670281347,0.0,0.9204620070848707,0.029939986921545963,32,0.016776262839249906,0.0,1.060652978763066,0.0368556728534349,32,0.02607275032246789,0.0,1.2675433541499888,0.0734320880560165,32,0.10225495360558393,0.0,1.069674396038901,0,0,6,4,25.458059310913086,24.685802459716797,0.0842759758234024,0.16351456940174103,99.0,99.0
382,0.011193427257239819,400,369,6256,6276,2299,2336,6267.618134455487,2323.41212293998,14.982131203690415,59.56687971768588,4.811265948973556,0.007619467933571186,0.02827917109758199,0.002654973779332819,7.7511396408081055,3.80379319190979,1.4645137786865234,0.06852355599403381,0.01723489537835121,-0.011069408617913723,1.1505357629895017,1.1781478658883966,0.007825942994229063,0.011102991141726776,6268,2323,6269,2323,1,6268.618134455487,2324.41212293998,382,190.91877486694392,35.854293526816676,190.91877486694392,35.854293526816676,1.1728494335807516,0.021216780648795903,395,23.726894343884542,5.9163917433032545,32.12537095446016,2.366367534312082,0.06082804051147252,0.30243080906755465,32,3242.2475824887747,32,4.925303250239295,12.420591975546342,26.520956445654107,1.0364347512909282,22.925939588419162,0.027909107478098955,0.23498573823369473,0.006518797827798024,0,0.0026973538090062045,0.0,0.38375957463105503,0.008873453110955385,0,0.0051920956440487,0.0,0.5753367988867376,0.012123999426856562,0,0.010213127919919537,0.0,0.8170835785262187,0.016922093487154954,32,0.020768439770350925,0.0,1.0039653955908023,0.020078188386542625,32,0.02996729033499765,0.0,1.302049625313716,0.024866675425879472,32,0.04711173756491493,0.0,2.2934205372539367,0.04852200914209194,32,0.1855111469536633,0.0,0.13827621463309883,0.00975290871300493,0,0.0034672224791425605,0.0,0.22675234527674096,0.01369806501557448,0,0.006672427945199507,0.0,0.3477330182940377,0.01925843338349143,0,0.013118532572991505,0.0,0.5103127904711292,0.027294029616613934,32,0.02664481804227284,0.0,0.6193143624675989,0.03253763709772966,32,0.03837767943520853,0.0,0.77608597256259,0.04051893056469756,32,0.060130149826464585,0.0,1.3599107015663698,0.08031669618419811,32,0.234138262773164,0.0,1.0172991399658764,0.3034367356781882,0.009636356094816759,0,0.0035533091741532003,0.0,0.4941127748901152,0.01309038165169857,0,0.006839103557025086,0.0,0.7363467595759249,0.01789315606675643,0,0.013451255985402652,0.0,1.0392815422535584,0.025057074144127976,32,0.02734027687370729,0.0,1.2791766661206776,0.029765785809416086,32,0.03940952075202541,0.0,1.6660937783827003,0.03691701997655309,32,0.06182228684511231,0.0,2.918713325419548,0.07228630233907257,32,0.24334028688956158,0.0,1.0194789754516058,0,0,6,4,24.752906799316406,24.277402877807617,0.04727642238140106,0.11250567436218262,21.5867,0.0488
467,0.01145003642886877,384,334,6285,6303,2549,2575,6294.359486969504,2561.690671976986,12.537026197586655,22.643756672773577,-0.33305319819714896,0.0026696553760839755,0.004987666187261971,-0.0001957642113176001,4.759697437286377,3.539217710494995,-1.5378903150558472,0.07979491353034973,0.04417954757809639,0.002347309375181794,1.9238256903763156,1.976786565844953,0.019748016360975916,0.032147982420445094,6294,2562,6294,2562,0,6295.359486969504,2562.690671976986,467,190.91822486703424,35.85826481344975,190.91822486703424,35.85826481344975,1.9679002860134451,0.020529928475878936,374,23.164992277885744,3.774431048055184,15.491547698314383,2.146223766206912,0.029322111703021767,0.016058501770537942,0,753.9446951094119,0,2.4102769456923636,4.748585453474,10.963666124064003,1.0949539761734581,22.972322838182706,0.014833531702147568,0.5912671258589951,0.0077229314792153884,0,0.0005884271929152994,0.0,0.9194346637662525,0.010239748607651256,0,0.0011370352478252176,0.0,1.3269130068161836,0.013520836069437943,0,0.002228746313329374,0.0,1.716759177098695,0.01801554596672618,0,0.00457267748880231,0.0,1.866953424917488,0.021006261153090972,0,0.006614327074797707,0.0,2.0162006016654574,0.025593287566129722,0,0.01040201336100912,0.0,2.291496773815532,0.04841731509201067,0,0.044088655226671845,0.0,0.3895784072105685,0.010573308303728084,0,0.0018369374191815973,0.0,0.6203228633845358,0.014487642507065336,0,0.003544976386311338,0.0,0.9059972640003175,0.019866139496447364,0,0.006933873542100095,0.0,1.19046695769464,0.027553128282081042,0,0.014171388741152556,0.0,1.3012206565957818,0.03274456321157661,0,0.020413266854424975,0.0,1.390812697748086,0.040507850552492924,0,0.03190965212602214,0.0,1.5977596272589611,0.07961359100435408,0,0.12890639391368142,0.0,1.0702922909123491,0.7486885075798885,0.011257672448070537,0,0.0012206161734253536,0.0,1.158882654194702,0.014949230690741026,0,0.0023557539557414924,0.0,1.667641734796938,0.019795013291699977,0,0.004608071980027971,0.0,2.1490237083663417,0.0264993165320216,0,0.009419595908880026,0.0,2.3335250118872573,0.03100088696315204,0,0.013570883234429254,0.0,2.5211355027703317,0.03797571468884525,0,0.021216844916064976,0.0,2.8154287516470267,0.07220284367556365,0,0.08575365040574978,0.0,1.0811702962446392,0,0,6,4,26.308279037475586,24.415687561035156,0.14951980113983154,0.10600706189870834,21.9156,0.0497
